"name","origin","country_code","temperament","description","alt_names","wikipedia_url","image_url","lat","lng","weight_kg","life_span_yrs","affection_level","energy_level","intelligence","dog_friendly","child_friendly","stranger_friendly","adaptability","grooming","shedding_level","social_needs","vocalisation","health_issues","indoor","lap","hypoallergenic","hairless","rare"
"Abyssinian","Egypt","EG","Active, Energetic, Independent, Intelligent, Gentle","The Abyssinian is easy to care for, and a joy to have in your home. They<U+2019>re affectionate cats and love both people and other animals.","","https://en.wikipedia.org/wiki/Abyssinian_(cat)","https://cdn2.thecatapi.com/images/0XYvRd7oD.jpg",27.246,30.335,4,14.5,5,5,5,4,3,5,5,1,2,5,1,2,0,1,0,0,0
"Aegean","Greece","GR","Affectionate, Social, Intelligent, Playful, Active","Native to the Greek islands known as the Cyclades in the Aegean Sea, these are natural cats, meaning they developed without humans getting involved in their breeding. As a breed, Aegean Cats are rare, although they are numerous on their home islands. They are generally friendly toward people and can be excellent cats for families with children.","","https://en.wikipedia.org/wiki/Aegean_cat","https://cdn2.thecatapi.com/images/ozEvzdVM-.jpg",38.313,21.886,4,10.5,4,3,3,4,4,4,5,3,3,4,3,1,0,NA,0,0,0
"American Bobtail","United States","US","Intelligent, Interactive, Lively, Playful, Sensitive","American Bobtails are loving and incredibly intelligent cats possessing a distinctive wild appearance. They are extremely interactive cats that bond with their human family with great devotion.","","https://en.wikipedia.org/wiki/American_Bobtail","https://cdn2.thecatapi.com/images/hBXicehMA.jpg",37.796,-95.168,5,13,5,3,5,5,4,3,5,1,3,3,3,1,0,1,0,0,0
"American Curl","United States","US","Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social","Distinguished by truly unique ears that curl back in a graceful arc, offering an alert, perky, happily surprised expression, they cause people to break out into a big smile when viewing their first Curl. Curls are very people-oriented, faithful, affectionate soulmates, adjusting remarkably fast to other pets, children, and new situations.","","https://en.wikipedia.org/wiki/American_Curl","https://cdn2.thecatapi.com/images/xnsqonbjW.jpg",36.912,-96.714,3.5,14,5,3,3,5,4,3,5,2,3,3,3,1,0,1,0,0,0
"American Shorthair","United States","US","Active, Curious, Easy Going, Playful, Calm","The American Shorthair is known for its longevity, robust health, good looks, sweet personality, and amiability with children, dogs, and other pets.","Domestic Shorthair","https://en.wikipedia.org/wiki/American_Shorthair","https://cdn2.thecatapi.com/images/JFPROfGtQ.jpg",36.473,-94.74,5.5,16,5,3,3,5,4,3,5,1,3,4,3,3,0,1,0,0,0
"American Wirehair","United States","US","Affectionate, Curious, Gentle, Intelligent, Interactive, Lively, Loyal, Playful, Sensible, Social","The American Wirehair tends to be a calm and tolerant cat who takes life as it comes. His favorite hobby is bird-watching from a sunny windowsill, and his hunting ability will stand you in good stead if insects enter the house.","","https://en.wikipedia.org/wiki/American_Wirehair","https://cdn2.thecatapi.com/images/8D--jCd21.jpg",38.326,-96.042,5.5,16,5,3,3,5,4,3,5,1,1,3,3,3,0,1,0,0,0
"Arabian Mau","United Arab Emirates","AE","Affectionate, Agile, Curious, Independent, Playful, Loyal","Arabian Mau cats are social and energetic. Due to their energy levels, these cats do best in homes where their owners will be able to provide them with plenty of playtime, attention and interaction from their owners. These kitties are friendly, intelligent, and adaptable, and will even get along well with other pets and children.","Alley cat","https://en.wikipedia.org/wiki/Arabian_Mau","https://cdn2.thecatapi.com/images/k71ULYfRr.jpg",22.169,53.2,5.5,13,5,4,3,5,4,3,5,1,1,3,1,1,0,NA,0,0,0
"Australian Mist","Australia","AU","Lively, Social, Fun-loving, Relaxed, Affectionate","The Australian Mist thrives on human companionship. Tolerant of even the youngest of children, these friendly felines enjoy playing games and being part of the hustle and bustle of a busy household. They make entertaining companions for people of all ages, and are happy to remain indoors between dusk and dawn or to be wholly indoor pets.","Spotted Mist","https://en.wikipedia.org/wiki/Australian_Mist","https://cdn2.thecatapi.com/images/_6x-3TiCA.jpg",-24.472,134.447,5,14,5,4,4,5,4,4,5,3,3,4,3,1,0,1,0,0,0
"Balinese","United States","US","Affectionate, Intelligent, Playful","Balinese are curious, outgoing, intelligent cats with excellent communication skills. They are known for their chatty personalities and are always eager to tell you their views on life, love, and what you<U+2019>ve served them for dinner. ","Long-haired Siamese","https://en.wikipedia.org/wiki/Balinese_(cat)","https://cdn2.thecatapi.com/images/13MkvUreZ.jpg",37.281,-96.172,3.5,12.5,5,5,5,5,4,5,5,3,3,5,5,3,0,NA,1,0,0
"Bambino","United States","US","Affectionate, Lively, Friendly, Intelligent","The Bambino is a breed of cat that was created as a cross between the Sphynx and the Munchkin breeds. The Bambino cat has short legs, large upright ears, and is usually hairless. They love to be handled and cuddled up on the laps of their family members.","","https://en.wikipedia.org/wiki/Bambino_cat","https://cdn2.thecatapi.com/images/5AdhMjeEu.jpg",36.519,-95.443,3,13,5,5,5,5,4,3,5,1,1,3,3,1,0,1,0,1,0
